name,state,city,tier,status,short_description,description,website,phone,email,address,founded_year,team_size,services
"Dental Billing Inc",California,"Los Angeles",FREE,ACTIVE,"LA-based dental billing service","Outsourced dental billing and insurance verification for California practices, with a Los Angeles base.",https://dentalbillinginc.com,"(800) 645-2780",,,, ,claims-submission|insurance-verification|payment-posting
"Dental Billing Assist",California,"Pleasanton",FREE,ACTIVE,"Bay Area dental billing","Dental billing and RCM serving the Bay Area, Central Valley, Los Angeles and San Diego.",https://dentalbillingassist.com,,,,,,dental-billing|insurance-verification|ar-management
"Medical Billing for Dentists",California,"Modesto",FREE,ACTIVE,"Dental and medical billing","Combined dental and medical cross-coding billing for practices in Modesto, Los Angeles and statewide.",https://www.medicalbillingfordentists.com,"(209) 527-1995",,,,,medical-billing|dental-billing|insurance-verification
"Professional Dental Billing (Synapse)",California,,FREE,ACTIVE,"California dental billing","Outsourced dental billing and revenue cycle support for California dental offices.",https://professionaldentalbilling.com,,,,,,dental-billing|insurance-verification
"Denefits",California,"Irvine",FREE,ACTIVE,"Patient financing and billing","Patient payment plans, financing and billing technology for dental and healthcare practices.",https://denefits.com,,,"Irvine, CA",2016,,patient-billing|payment-plans
"eAssist Dental Solutions",California,"American Fork",FREE,ACTIVE,"Nation's largest dental billing network","Distributed dental billing network handling claims, posting, AR and verification for practices nationwide.",https://dentalbilling.com,"(844) 327-7478",,"665 W 750 N, American Fork, UT 84003",2011,,claims-submission|payment-posting|insurance-verification|ar-management
"DCS (Dental Claim Support)",California,"Savannah",FREE,ACTIVE,"Dental RCM and billing","Full-service dental revenue cycle management with US-based billers serving practices and DSOs.",https://www.dentalclaimsupport.com,"(912) 355-6100",,"37 W Fairmont Ave Bldg 100B, Savannah, GA 31406",2012,201-500,claims-submission|payment-posting|insurance-verification|ar-management|credentialing
"Capline Dental Services",California,"Houston",FREE,ACTIVE,"Billing, verification and credentialing","Dental billing, collections, insurance verification and credentialing for practices nationwide.",https://www.caplinedentalservices.com,"(888) 666-0604",,"3838 N Sam Houston Pkwy E Ste 430, Houston, TX 77032",2016,,dental-billing|insurance-verification|credentialing|patient-billing
"EZ Dental Billing",California,"Naples",FREE,ACTIVE,"Remote dental billing","Remote dental billing, posting and insurance verification; an Inc. 5000 honoree.",https://www.ezdentalbilling.com,"(239) 963-2066",,"3606 Enterprise Ave Ste 200, Naples, FL 34104",2010,,claims-submission|payment-posting|insurance-verification
"Medusind",California,"Miami",FREE,ACTIVE,"End-to-end dental RCM","Two-decade RCM provider offering dental billing, coding, AR and credentialing at scale.",https://www.medusind.com,,,"6100 Blue Lagoon Dr Suite 450, Miami, FL 33126",2002,1000+,dental-billing|coding|ar-management|credentialing
"Outsource Strategies International",California,"Tulsa",FREE,ACTIVE,"Medical and dental RCM","RCM provider offering dental billing, verification, coding and AR management since 2002.",https://www.outsourcestrategies.com,,,"8596 E 101st St, Tulsa, OK",2002,,dental-billing|insurance-verification|coding|ar-management
"Dental Claims Cleanup",California,"Syracuse",FREE,ACTIVE,"Dental and medical billing","Dentist-founded billing service covering dental/medical billing, benefits verification and patient billing.",https://dentalclaimscleanup.com,"(800) 652-3431",,"1810 Erie Blvd, Syracuse, NY",2015,,dental-billing|insurance-verification|patient-billing
